facility_id,name,facility_type,infrastructure_type,owner,address,suburb,lga,lat,lon,accepted_materials,capacity_kg_per_day,capacity_source,capacity_confidence,source_id,source_url,data_confidence,derivation_method
fac_0188_kingston_waste_transfer_station,Kingston Waste Transfer Station,Resource Recovery Centre,Transfer station,Rhino Bins,24-30 Fonceca Street,Mordialloc,Kingston,-37.990172,145.10446,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0189_resourceco_brooklyn_,ResourceCo (Brooklyn),Reprocessor,C&D waste recycling,ResourceCo,125 Bunting Road,Brooklyn,Brimbank,-37.811165,144.840416,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0190_hampton_park_resource_recovery_precinct_,Hampton Park Resource Recovery Precinct - ResourceCo Construction & Demolition,Reprocessor,C&D waste recycling,ResourceCo,795 South Gippsland Highway,Hampton Park,Casey,-38.06152,145.264745,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0191_tyrecycle,Tyrecycle,Hazardous waste,End-of-life tyres facility,ResourceCo,30-56 Encore Avenue,Somerton,Hume,-37.63474,144.952416,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0192_resource_resolution,Resource Resolution,Reprocessor,Organics recycling,Resource Resolution Pty Ltd,19 Winter Road,Girgarre,Campaspe,-36.3985198,144.9834936,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0193_resource,ReSource,Reprocessor,E-waste recycling,ReSource Pty Ltd,70 Swann Drive,Derrimut,Brimbank,-37.801872,144.778851,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0194_re_source,Re-Source,Reprocessor,E-waste recycling,Re-Source,70 Swann Drive,Derrimut,Brimbank,-37.80097659,144.7788241,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0195_repurpose_it_epping_c_d_waste_recycling_,"Repurpose It (Epping, C&D waste recycling)",Reprocessor,C&D waste recycling,Repurpose It,460 Cooper Street,Epping,Whittlesea,-37.646751,144.97923,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0196_repurpose_it_montrose_,Repurpose It (Montrose),Reprocessor,Organics recycling,Repurpose It,54 Fussell Road,Montrose,Yarra Ranges,-37.8215044,145.3256144,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0197_repurpose_it_hallam_,Repurpose It (Hallam),Reprocessor,Organics recycling,Repurpose It,88-102 Ogrady Road,Hallam,Casey,-38.0179334,145.2555432,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0198_repurpose_it_epping_organics_recycling_,"Repurpose It (Epping, organics recycling)",Reprocessor,Organics recycling,Repurpose It,460 Cooper Street,Epping,Whittlesea,-37.64051054,144.9782316,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0199_repurpose_it_epping_chemical_physical_tr,"Repurpose It (Epping, Chemical physical treatment (CPT) plant)",Hazardous waste,Chemical physical treatment (CPT) plant,Repurpose It,460 Cooper Street,Epping,Whittlesea,-37.6462749,144.9804871,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0200_repurpose_it_epping_glass_reprocessing_,"Repurpose It (Epping, Glass reprocessing)",Reprocessor,Glass reprocessing (crushing),Repurpose It,460 Cooper Street,Epping,Whittlesea,-37.646887,144.981989,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0201_replas,REPLAS,Reprocessor,Plastics reprocessing,Repeat Plastics Australia Pty Ltd,50 Elsworth Street,Canadian,Ballarat,-37.58313715,143.8735896,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0202_renex_pops_destruction_,Renex (POPs destruction),Hazardous waste,Persistent organic pollutants (non-soil) thermal destruction facility,Renex Group Pty Ltd,109-131 Ordish Road,Dandenong South,Greater Dandenong,-38.027499,145.192777,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0203_renex_soils_thermal_treatment_,Renex (soils thermal treatment),Hazardous waste,Soils thermal treatment facility,Renex Group Pty Ltd,109-131 Ordish Road,Dandenong South,Greater Dandenong,-38.027499,145.192777,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0204_remondis_dandenong_south_liquid_processi,REMONDIS Dandenong South Liquid Processing Plant,Reprocessor,Organics recycling,REMONDIS Australia,26-28 Souffi Place,Dandenong South,Greater Dandenong,-38.0321019,145.1974555,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0205_remondis_dandenong_south_liquid_processi,REMONDIS Dandenong South Liquid Processing Plant (OWT),Hazardous waste,Oil/water treatment (OWT) facility,REMONDIS Australia,26-28 Souffi Place,Dandenong South,Greater Dandenong,-38.031815,145.197081,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0206_remondis_somerton_liquid_processing_plan,REMONDIS Somerton Liquid Processing Plant,Hazardous waste,Chemical physical treatment (CPT) plant,REMONDIS Australia,41-47 Freight Drive,Somerton,Hume,-37.64059144,144.9639408,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0207_reid_brothers_sawmill,Reid Brothers Sawmill,Reprocessor,Thermal energy from waste,Reid Brothers,30-42 Little Yarra Road,Yarra Junction,Yarra Ranges,-37.78641,145.6167318,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0208_re_group_hallam_container_and_plastics_s,Re.Group Hallam Container and Plastics Sorting Facility,Reprocessor,Plastics recovery,Re-Group Pty Ltd,87-93 Wedgewood Road,Hallam,Casey,-38.013067,145.254664,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0209_re_group_dandenong_glass_beneficiation_,"Re-Group (Dandenong, Glass beneficiation)",Reprocessor,Glass beneficiation,Re-Group Pty Ltd,126-134 Thomas Murrell Crescent,Dandenong South,Greater Dandenong,-38.02202264,145.1936873,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0210_re_group_dandenong_mrf_,"Re-Group (Dandenong, MRF)",MRF,Materials recovery facility,Re-Group Pty Ltd,126-134 Thomas Murrell Crescent,Dandenong South,Greater Dandenong,-38.021922,145.19362,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0211_re_group_coburg_ssf_bailing_facility_,"Re-Group (Coburg SSF, bailing facility)",Reprocessor,Paper & cardboard recovery,Re-Group Pty Ltd,172 Newlands Road,Coburg North,Merri-bek,-37.723148,144.975921,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
fac_0212_regional_recycle,Regional Recycle,Reprocessor,C&D waste recycling,Regional Recycle and Lewis Group,313 Hamilton Highway,Fyansford,Greater Geelong,-38.14359973,144.2927774,,,not_in_source_data,unknown,vic_waste_infra,https://discover.data.vic.gov.au/dataset/victoria-s-waste-and-resource-recovery-infrastructure-map-data/resource/1dc1c2d9-515d-426b-8548-efac5c53e8bc,observed,direct_mapping_from_sustainability_vic_csv
